i,trisk,lower,upper,nrisk
1,0,1,16,233
2,3,17,30,173
3,6,31,41,117
4,9,42,53,74
5,12,54,64,45
6,15,65,75,30
7,18,76,86,11
8,21,87,96,3
9,24,97,97,1
